N bic bdeu fnml qnml
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 7
10 7 12 16 8
10 7 12 16 8
10 7 12 16 8
10 7 12 16 8
10 7 12 16 9
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 7
10 7 12 18 8
10 7 12 18 8
10 7 12 18 9
10 7 12 19 7
10 7 12 19 7
10 7 12 19 7
10 7 12 19 7
10 7 12 19 7
10 7 12 19 8
10 7 12 19 9
10 7 13 12 10
10 7 13 16 7
10 7 13 16 7
10 7 13 16 8
10 7 13 16 8
10 7 13 18 7
10 7 13 18 7
10 7 13 18 7
10 7 13 18 7
10 7 13 18 7
10 7 13 18 8
10 7 13 18 8
10 7 13 18 8
10 7 13 18 9
10 7 13 19 8
10 7 13 19 8
10 7 13 19 8
10 7 13 19 8
10 7 13 8 11
10 7 14 12 10
10 7 14 8 9
10 7 18 16 7
10 7 18 16 7
10 7 18 16 8
10 7 18 17 8
10 7 18 18 7
10 7 18 18 7
10 7 18 19 7
10 7 18 19 8
10 7 18 20 9
10 7 8 8 9
10 7 9 10 11
10 7 9 10 8
10 7 9 10 9
10 7 9 11 9
10 7 9 7 7
10 7 9 7 8
10 7 9 7 8
10 7 9 8 8
10 7 9 8 9
10 7 9 9 10
10 7 9 9 8
10 7 9 9 8
10 7 9 9 8
10 8 10 10 10
10 8 10 10 10
10 8 10 10 10
10 8 10 10 10
10 8 10 10 8
10 8 10 10 8
10 8 10 10 8
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 10 9
10 8 10 11 10
10 8 10 11 10
10 8 10 11 10
10 8 10 11 10
10 8 10 11 10
10 8 10 11 11
10 8 10 11 9
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 10
10 8 10 12 11
10 8 10 12 11
10 8 10 12 9
10 8 10 13 11
10 8 10 13 11
10 8 10 14 9
10 8 10 15 9
10 8 10 17 11
10 8 10 7 8
10 8 10 8 10
10 8 10 8 10
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 8
10 8 10 8 9
10 8 10 8 9
10 8 10 8 9
10 8 10 8 9
10 8 10 8 9
10 8 10 9 10
10 8 10 9 8
10 8 10 9 9
10 8 10 9 9
10 8 11 11 10
10 8 11 11 11
10 8 11 13 10
10 8 11 17 8
10 8 11 17 8
10 8 11 17 8
10 8 11 18 8
10 8 11 18 9
10 8 11 18 9
10 8 11 19 10
10 8 11 19 8
10 8 12 10 9
10 8 12 11 10
10 8 12 11 11
10 8 12 11 11
10 8 12 11 11
10 8 12 11 9
10 8 12 11 9
10 8 12 11 9
10 8 12 11 9
10 8 12 11 9
10 8 12 14 11
10 8 12 18 10
10 8 12 9 10
10 8 12 9 7
10 8 12 9 9
10 8 12 9 9
10 8 13 10 10
10 8 13 10 9
10 8 13 12 9
10 8 13 15 13
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 7
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 8
10 8 13 17 9
10 8 13 17 9
10 8 13 17 9
10 8 13 17 9
10 8 13 18 7
10 8 13 18 7
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 19 8
10 8 13 20 8
10 8 13 20 8
10 8 13 20 8
10 8 13 8 8
10 8 13 8 9
10 8 14 10 10
10 8 14 10 10
10 8 14 10 10
10 8 14 10 9
10 8 14 10 9
10 8 14 10 9
10 8 14 10 9
10 8 14 11 10
10 8 14 11 10
10 8 14 11 10
10 8 14 12 10
10 8 14 12 10
10 8 14 12 10
10 8 14 18 9
10 8 14 8 10
10 8 14 8 10
10 8 14 8 10
10 8 14 8 10
10 8 14 8 10
10 8 14 8 8
10 8 14 8 8
10 8 14 8 8
10 8 14 8 8
10 8 14 8 9
10 8 14 8 9
10 8 14 8 9
10 8 14 9 9
10 8 15 10 9
10 8 15 17 10
10 8 15 17 8
10 8 15 18 9
10 8 15 18 9
10 8 15 19 10
10 8 15 8 9
10 8 15 9 8
10 8 16 17 8
10 8 16 17 8
10 8 16 17 8
10 8 16 17 8
10 8 16 18 9
10 8 16 19 8
10 8 17 8 9
10 8 18 16 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 8
10 8 18 17 9
10 8 18 17 9
10 8 18 17 9
10 8 18 17 9
10 8 18 17 9
10 8 18 17 9
10 8 18 17 9
10 8 18 18 9
10 8 19 13 11
10 8 19 20 8
10 8 19 20 8
10 8 19 20 8
10 8 19 20 8
10 8 19 20 8
10 8 19 20 8
10 8 21 23 8
10 8 21 23 8
10 8 22 20 8
10 8 6 11 8
10 8 7 10 10
10 8 7 9 11
10 8 8 11 10
10 8 8 8 9
10 8 9 10 9
10 8 9 10 9
10 8 9 11 10
10 8 9 11 9
10 8 9 11 9
10 8 9 12 11
10 8 9 13 11
10 8 9 8 10
10 8 9 8 11
10 8 9 8 8
10 8 9 8 8
10 8 9 8 9
10 8 9 8 9
10 8 9 9 10
10 8 9 9 12
10 8 9 9 8
10 8 9 9 8
10 9 10 10 10
10 9 10 10 10
10 9 10 10 11
10 9 10 10 11
10 9 10 10 8
10 9 10 10 9
10 9 10 10 9
10 9 10 10 9
10 9 10 10 9
10 9 10 10 9
10 9 10 10 9
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 10
10 9 10 11 11
10 9 10 11 11
10 9 10 11 11
10 9 10 11 11
10 9 10 11 8
10 9 10 11 9
10 9 10 11 9
10 9 10 12 10
10 9 10 12 10
10 9 10 12 10
10 9 10 12 10
