N bic bdeu fnml qnml
10 6 8 6 6
10 6 8 6 7
10 6 8 6 8
10 6 8 6 8
10 6 8 7 6
10 6 8 7 7
10 6 8 7 7
10 6 8 7 7
10 6 8 7 7
10 6 8 7 7
10 6 8 7 8
10 6 8 7 8
10 6 8 7 8
10 6 8 7 8
10 6 8 7 9
10 6 8 7 9
10 6 8 7 9
10 6 8 8 10
10 6 8 8 10
10 6 8 8 11
10 6 8 8 11
10 6 8 8 7
10 6 8 8 7
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 8
10 6 8 8 9
10 6 8 8 9
10 6 8 8 9
10 6 8 8 9
10 6 8 8 9
10 6 8 8 9
10 6 8 9 10
10 6 8 9 10
10 6 8 9 10
10 6 8 9 10
10 6 8 9 10
10 6 8 9 5
10 6 8 9 8
10 6 8 9 8
10 6 8 9 8
10 6 8 9 8
10 6 8 9 9
10 6 8 9 9
10 6 8 9 9
10 6 8 9 9
10 6 8 9 9
10 6 8 9 9
10 6 8 9 9
10 6 9 10 10
10 6 9 10 10
10 6 9 10 10
10 6 9 10 10
10 6 9 10 10
10 6 9 10 10
10 6 9 10 10
10 6 9 10 11
10 6 9 10 11
10 6 9 10 8
10 6 9 10 8
10 6 9 10 8
10 6 9 10 8
10 6 9 10 9
10 6 9 10 9
10 6 9 10 9
10 6 9 11 10
10 6 9 11 10
10 6 9 11 11
10 6 9 11 11
10 6 9 11 11
10 6 9 11 11
10 6 9 11 12
10 6 9 11 13
10 6 9 11 9
10 6 9 12 12
10 6 9 12 8
10 6 9 5 10
10 6 9 5 5
10 6 9 6 10
10 6 9 6 7
10 6 9 6 7
10 6 9 6 8
10 6 9 6 9
10 6 9 6 9
10 6 9 7 10
10 6 9 7 10
10 6 9 7 11
10 6 9 7 8
10 6 9 8 10
10 6 9 8 10
10 6 9 8 10
10 6 9 8 7
10 6 9 8 7
10 6 9 8 8
10 6 9 8 8
10 6 9 8 8
10 6 9 8 8
10 6 9 8 8
10 6 9 8 8
10 6 9 8 9
10 6 9 8 9
10 6 9 8 9
10 6 9 8 9
10 6 9 9 10
10 6 9 9 10
10 6 9 9 10
10 6 9 9 10
10 6 9 9 11
10 6 9 9 7
10 6 9 9 8
10 6 9 9 8
10 6 9 9 8
10 6 9 9 8
10 6 9 9 9
10 6 9 9 9
10 6 9 9 9
10 7 10 10 10
10 7 10 10 10
10 7 10 10 10
10 7 10 10 10
10 7 10 10 10
10 7 10 10 11
10 7 10 10 11
10 7 10 10 12
10 7 10 10 8
10 7 10 10 9
10 7 10 10 9
10 7 10 10 9
10 7 10 10 9
10 7 10 10 9
10 7 10 10 9
10 7 10 11 10
10 7 10 11 11
10 7 10 11 11
10 7 10 11 11
10 7 10 11 12
10 7 10 11 9
10 7 10 12 9
10 7 10 13 12
10 7 10 13 9
10 7 10 7 10
10 7 10 7 7
10 7 10 7 7
10 7 10 7 9
10 7 10 8 10
10 7 10 8 11
10 7 10 8 7
10 7 10 8 8
10 7 10 8 9
10 7 10 9 10
10 7 10 9 10
10 7 10 9 10
10 7 10 9 10
10 7 10 9 10
10 7 10 9 10
10 7 10 9 11
10 7 10 9 7
10 7 10 9 8
10 7 10 9 9
10 7 10 9 9
10 7 10 9 9
10 7 10 9 9
10 7 10 9 9
10 7 11 10 10
10 7 11 10 10
10 7 11 11 11
10 7 11 11 11
10 7 11 11 8
10 7 11 12 10
10 7 11 12 13
10 7 11 7 9
10 7 11 8 10
10 7 11 8 8
10 7 11 8 8
10 7 11 9 11
10 7 11 9 9
10 7 11 9 9
10 7 12 10 10
10 7 12 10 10
10 7 12 10 9
10 7 12 10 9
10 7 12 11 10
10 7 12 11 12
10 7 12 13 11
10 7 13 10 11
10 7 3 9 4
10 7 4 8 10
10 7 4 9 9
10 7 5 10 10
10 7 5 10 11
10 7 5 11 8
10 7 5 12 12
10 7 5 7 7
10 7 5 9 8
10 7 5 9 9
10 7 6 10 10
10 7 6 10 10
10 7 6 10 10
10 7 6 10 7
10 7 6 10 8
10 7 6 10 8
10 7 6 10 8
10 7 6 10 9
10 7 6 10 9
10 7 6 11 11
10 7 6 11 9
10 7 6 11 9
10 7 6 12 9
10 7 6 6 6
10 7 6 6 6
10 7 6 7 7
10 7 6 7 7
10 7 6 7 7
10 7 6 7 7
10 7 6 7 8
10 7 6 7 9
10 7 6 8 10
10 7 6 8 8
10 7 6 8 8
10 7 6 8 8
10 7 6 8 8
10 7 6 8 9
10 7 6 8 9
10 7 6 8 9
10 7 6 9 10
10 7 6 9 6
10 7 6 9 7
10 7 6 9 8
10 7 6 9 8
10 7 6 9 8
10 7 6 9 9
10 7 6 9 9
10 7 6 9 9
10 7 6 9 9
10 7 7 10 10
10 7 7 10 10
10 7 7 10 10
10 7 7 10 10
10 7 7 10 12
10 7 7 10 8
10 7 7 10 8
10 7 7 10 8
10 7 7 10 9
10 7 7 10 9
10 7 7 10 9
10 7 7 10 9
10 7 7 11 10
10 7 7 11 11
10 7 7 11 8
10 7 7 11 9
10 7 7 11 9
10 7 7 11 9
10 7 7 11 9
10 7 7 13 10
10 7 7 14 11
10 7 7 5 8
10 7 7 6 6
10 7 7 6 6
10 7 7 6 8
10 7 7 6 8
10 7 7 6 9
10 7 7 7 10
10 7 7 7 10
10 7 7 7 11
10 7 7 7 11
10 7 7 7 5
10 7 7 7 5
10 7 7 7 5
10 7 7 7 6
10 7 7 7 7
10 7 7 7 7
10 7 7 7 7
10 7 7 7 7
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 8
10 7 7 7 9
10 7 7 7 9
10 7 7 7 9
10 7 7 7 9
10 7 7 8 10
10 7 7 8 10
10 7 7 8 11
10 7 7 8 6
10 7 7 8 7
10 7 7 8 8
10 7 7 8 8
10 7 7 8 8
10 7 7 8 8
10 7 7 8 8
10 7 7 8 8
10 7 7 8 9
10 7 7 8 9
10 7 7 8 9
10 7 7 8 9
10 7 7 8 9
10 7 7 8 9
10 7 7 8 9
10 7 7 9 10
10 7 7 9 10
10 7 7 9 10
10 7 7 9 10
10 7 7 9 10
10 7 7 9 10
10 7 7 9 11
10 7 7 9 11
10 7 7 9 11
10 7 7 9 8
10 7 7 9 8
10 7 7 9 8
10 7 7 9 9
10 7 7 9 9
10 7 8 10 10
10 7 8 10 10
10 7 8 10 10
