N bic bdeu fnml qnml
10 16 27 24 26
10 16 27 25 22
10 16 27 25 23
10 16 27 25 24
10 16 27 26 21
10 16 27 26 23
10 16 27 26 25
10 16 27 26 26
10 16 27 27 23
10 16 27 28 23
10 16 27 29 23
10 16 27 32 22
10 16 28 14 23
10 16 28 19 22
10 16 28 19 23
10 16 28 21 21
10 16 28 22 16
10 16 28 22 20
10 16 28 22 21
10 16 28 23 20
10 16 28 24 20
10 16 28 24 21
10 16 28 24 23
10 16 28 24 24
10 16 28 24 24
10 16 28 25 21
10 16 28 25 21
10 16 28 25 24
10 16 28 25 24
10 16 28 25 24
10 16 28 26 21
10 16 28 26 21
10 16 28 26 24
10 16 28 26 25
10 16 28 26 26
10 16 28 27 21
10 16 28 27 22
10 16 28 27 24
10 16 28 27 24
10 16 28 27 25
10 16 28 27 29
10 16 28 28 23
10 16 28 28 25
10 16 28 29 25
10 16 28 29 25
10 16 29 21 21
10 16 29 22 23
10 16 29 23 18
10 16 29 23 22
10 16 29 23 22
10 16 29 23 23
10 16 29 23 24
10 16 29 23 25
10 16 29 24 21
10 16 29 24 22
10 16 29 24 24
10 16 29 24 24
10 16 29 24 25
10 16 29 24 25
10 16 29 24 25
10 16 29 24 26
10 16 29 25 20
10 16 29 25 23
10 16 29 25 25
10 16 29 25 25
10 16 29 25 27
10 16 29 26 23
10 16 29 26 23
10 16 29 26 25
10 16 29 27 21
10 16 29 27 22
10 16 29 27 22
10 16 29 27 23
10 16 29 27 23
10 16 29 27 26
10 16 29 27 26
10 16 29 28 23
10 16 29 28 24
10 16 29 28 24
10 16 29 29 25
10 16 29 31 25
10 16 30 18 17
10 16 30 19 18
10 16 30 20 18
10 16 30 21 24
10 16 30 22 25
10 16 30 23 23
10 16 30 24 25
10 16 30 25 23
10 16 30 25 23
10 16 30 25 25
10 16 30 25 25
10 16 30 26 20
10 16 30 26 21
10 16 30 26 21
10 16 30 26 23
10 16 30 26 23
10 16 30 26 24
10 16 30 26 25
10 16 30 26 26
10 16 30 27 19
10 16 30 27 21
10 16 30 27 24
10 16 30 27 26
10 16 30 28 21
10 16 30 28 24
10 16 30 28 25
10 16 30 28 27
10 16 30 29 24
10 16 30 30 23
10 16 30 30 27
10 16 31 18 18
10 16 31 19 21
10 16 31 22 22
10 16 31 22 24
10 16 31 23 24
10 16 31 24 21
10 16 31 24 22
10 16 31 24 23
10 16 31 25 21
10 16 31 25 22
10 16 31 26 24
10 16 31 26 26
10 16 31 27 22
10 16 31 27 24
10 16 31 27 25
10 16 31 27 25
10 16 31 29 21
10 16 31 29 22
10 16 31 29 23
10 16 31 29 25
10 16 31 29 27
10 16 31 29 27
10 16 31 29 27
10 16 31 30 22
10 16 31 30 24
10 16 32 20 19
10 16 32 22 21
10 16 32 23 19
10 16 32 23 23
